name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
東京,1,294,55,96,133,310,580,748,767,1082,1678,1827,1885,4152,5696,4856,5466,7247,8522,10814,11828,13802,17829,17765,19703,24024,28730,27340,24808,24619,22208,19537,17629,22714,20531,14144,14029,12799,11326,9002,7972,6783,4558,5214,4446,2368,2509,2962,3237,3063,2201,1769,2200,2218,1246,1227,1199,1691,1457,294,765,683,605,1034,998,613,286,276,588,635,838,832,183,222,6637
上野,2,474,155,292,689,690,107,440,429,604,1712,2942,2789,2296,4557,4058,4515,7565,6776,7673,7998,8703,7244,9269,12779,11912,14858,12274,12200,10360,9257,10247,6949,6822,6380,6794,5666,5230,4194,5450,2623,2808,1551,3241,2165,1377,1238,1732,1098,457,938,282,733,877,683,362,440,1178,640,321,342,429,985,182,495,1170,341,399,226,170,0,113,193,223,5341
尾久,3,0,0,63,63,0,0,0,0,22,22,0,0,62,21,0,84,110,102,27,0,0,69,383,46,274,230,175,132,27,0,0,30,139,203,249,13,70,110,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,135,135,0,0,0,0,0,0,0,0,0,0,0,0,274
赤羽,4,581,197,133,142,370,201,406,486,1172,534,1403,2650,1503,2089,3251,4671,2686,4241,4846,4734,9164,7684,7335,7798,8118,7862,9127,8242,7245,3987,6136,5852,4312,5098,3350,3389,2817,1720,2229,1858,1910,2604,1141,1081,1090,1434,709,739,1455,733,157,538,461,1207,509,308,571,784,446,123,230,322,1408,59,535,32,0,440,47,135,433,40,80,6110
日暮里,5,586,198,98,94,345,77,228,594,647,608,870,1931,1816,2420,3360,6209,3955,4125,5506,8841,9944,8639,10236,8854,10037,10399,10868,12384,8919,7676,6929,6592,5322,5236,6259,4512,2491,4103,2909,2153,2241,2169,1888,940,1237,1119,824,412,919,1412,1117,1877,1743,1893,1091,227,378,240,464,471,13,18,133,293,62,187,31,0,110,110,54,105,149,5534
三河島,6,60,0,0,0,0,0,0,0,0,0,0,166,97,39,21,530,34,12,41,39,98,59,57,57,199,341,270,33,80,0,68,68,0,41,0,30,0,21,59,59,35,0,0,0,36,36,0,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
南千住,7,55,0,0,0,0,0,0,0,38,46,204,69,88,116,256,17,242,315,316,249,1337,230,376,348,282,1073,599,169,345,327,197,170,133,200,196,59,154,41,90,348,21,33,193,67,28,65,0,0,0,0,64,64,0,137,27,0,193,146,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
北千住,8,2347,315,343,733,1581,1879,1587,1473,2075,2953,3574,5031,6307,5542,7669,11417,13359,13904,12653,16417,18007,18762,20290,22083,19269,18626,20153,19484,17561,13858,14169,13695,10139,9075,9276,8203,6545,7131,6159,4063,3096,2687,3362,2679,1787,1240,1123,1690,1877,1278,602,1189,1492,923,800,909,577,536,613,239,439,537,1042,905,391,214,319,369,363,259,23,235,262,5321
新日本橋,9,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,17,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,0,48,0,0,0,0,0,0,0,52,0,0,126,0,0,172,171,100,162,96,60,154,120,90,555,682,180,112,156,101,72,14,123,39,35,0,0,216,0,43,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
錦糸町,11,659,29,23,42,42,222,97,728,346,575,753,693,796,1544,857,924,1905,2093,3609,3194,1816,2512,3773,3570,3473,2851,3224,4500,4399,3395,2452,827,1134,2402,1417,1215,1929,1167,1091,1524,944,566,802,26,810,565,316,350,0,267,190,125,103,131,99,0,73,349,5,65,235,235,0,0,57,0,0,23,61,28,0,192,204,978
亀戸,12,478,167,0,0,32,0,0,68,109,333,468,499,279,257,312,373,379,466,669,1069,333,1262,1677,526,1419,1011,601,928,1606,1933,1220,1289,824,403,81,886,296,1965,298,386,143,137,1129,394,209,351,198,45,66,160,234,274,0,0,0,115,78,172,69,114,15,65,226,227,0,56,0,0,23,0,50,2,0,968
平井,13,385,37,0,0,40,0,0,0,31,27,94,154,166,427,242,491,256,475,692,961,541,710,1089,1124,961,912,889,1077,611,1312,555,374,367,1355,516,764,164,466,579,939,706,288,0,106,0,0,0,73,0,0,0,49,86,199,239,0,126,84,0,0,0,0,0,0,0,0,0,69,37,37,0,121,0,372
新小岩,14,281,96,0,0,49,0,70,312,663,1002,1430,693,1058,465,964,1149,668,2216,1834,2404,1664,2380,2692,2516,3096,2620,2442,2914,2249,1931,1726,1062,1028,949,743,841,916,661,589,116,526,64,0,606,498,383,1979,77,0,112,194,33,19,185,123,110,196,235,125,0,46,93,47,29,0,0,0,0,62,2,2,94,94,640
小岩,15,245,0,0,0,529,0,24,52,325,897,610,74,156,979,1319,3133,2813,1930,1270,1527,2269,2660,2581,3709,1345,1725,1856,2398,1815,2019,989,735,714,1277,497,859,560,629,579,772,857,319,227,232,204,116,383,327,272,85,0,37,37,0,0,0,0,411,411,0,0,96,50,270,270,0,0,0,78,89,51,0,40,1670
八丁堀,16,140,0,30,0,36,0,67,89,38,0,27,303,116,302,479,96,357,585,547,520,376,535,439,802,603,866,1205,681,1326,538,984,823,578,633,367,373,602,733,252,233,397,489,490,411,108,114,97,155,63,0,0,36,36,119,243,0,0,44,118,30,0,44,119,0,0,0,0,0,0,0,67,37,0,420
越中島,17,0,0,0,0,0,0,0,0,0,0,0,0,191,43,0,47,47,0,153,0,0,80,37,0,0,0,82,0,234,125,129,103,0,31,0,0,52,0,0,156,0,44,0,44,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
潮見,18,0,0,0,0,0,0,34,0,0,120,120,0,0,118,118,103,0,191,52,0,145,36,30,232,0,498,524,576,115,629,52,118,126,133,95,104,0,0,103,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,96
新木場,19,74,61,23,34,74,225,64,363,709,678,0,200,341,190,428,835,842,721,1226,880,1533,2088,2456,2373,2953,2212,2000,2028,2169,2805,2473,1838,1864,2764,2344,1522,1731,937,691,914,1278,657,355,430,547,217,330,183,95,86,190,30,82,65,148,77,77,0,0,0,0,119,119,30,0,56,0,42,42,73,118,133,300,1811
葛西臨海公園,20,0,43,43,0,0,255,0,52,140,88,97,0,0,150,94,55,451,86,104,962,380,380,593,0,261,432,44,0,500,0,51,606,606,43,85,124,0,124,0,86,0,0,0,0,38,38,0,43,43,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
府中本町,21,121,0,0,294,356,79,140,213,117,211,533,570,341,531,720,905,878,836,1659,2060,1903,1946,1646,1553,1422,1249,1254,1727,1803,1568,1245,499,665,866,547,635,1083,1344,617,191,326,324,306,242,131,197,166,146,491,536,429,296,38,0,0,73,304,231,50,102,52,237,829,592,0,0,0,0,92,151,59,52,52,695
北府中,22,0,0,0,0,0,0,0,0,0,0,0,58,35,192,240,90,45,845,1236,453,1,98,97,41,88,69,30,30,47,0,113,227,224,224,114,56,56,39,152,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
西国分寺,23,21,0,78,175,413,512,454,297,418,611,708,999,1066,1432,1670,2423,3009,2972,2744,4378,4321,4047,4522,4122,4417,4526,4073,4543,4472,2745,3750,3623,2463,3221,2705,1701,1268,1039,1024,924,1113,1048,1011,463,539,411,28,72,1001,940,1222,734,1044,1353,484,186,416,385,21,149,149,112,204,92,162,110,110,0,0,0,0,244,272,2957
新小平,24,0,123,91,64,64,42,42,35,71,36,76,76,177,226,405,372,67,282,96,21,45,15,48,332,284,225,225,0,124,124,319,319,0,82,100,164,64,0,0,32,32,0,111,0,0,0,0,0,135,155,20,0,0,140,50,50,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,31
