name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
東京,1,499,51,418,323,1307,3182,6656,8064,13353,21471,30592,19914,12706,12558,8438,4736,2733,2020,1837,678,321,870,207,816,75,4788
上野,2,405,482,796,791,2148,4225,8070,9970,12648,21009,18130,18571,13914,9650,6582,3630,2576,1316,940,763,58,808,433,665,129,3227
尾久,3,0,63,0,22,21,21,104,70,503,566,27,76,139,110,0,0,0,0,0,0,30,0,0,0,0,0
赤羽,4,430,221,398,633,845,2083,4503,8304,7769,13347,13127,10264,5224,3788,1492,3081,2288,1295,963,1188,361,97,1806,428,133,2567
日暮里,5,223,116,359,449,592,1289,3751,7220,7306,14074,11448,11522,6153,6189,6043,2337,1352,276,1852,1702,569,458,279,23,123,3329
三河島,6,60,0,0,0,39,568,53,39,199,420,33,109,30,59,0,36,0,0,0,0,0,0,0,0,0,28
南千住,7,55,0,0,76,437,306,355,1742,357,700,286,329,259,489,120,64,0,64,164,193,437,0,0,0,0,274
北千住,8,1331,358,1212,1615,3496,4709,10421,16720,18356,17004,15131,17235,11957,7957,4576,1908,1611,814,923,690,203,506,81,440,335,3173
新日本橋,9,0,0,0,0,0,0,0,0,0,0,22,0,17,0,29,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,96,0,0,0,126,130,156,241,252,296,29,58,24,0,0,0,0,0,0,0,0,0,0,0,85
錦糸町,11,48,40,277,778,645,1475,1682,2064,5659,5081,3834,3649,1997,2096,843,701,218,420,210,275,75,5,57,23,0,409
亀戸,12,204,129,32,155,851,429,908,1584,1849,1521,2007,1078,991,480,1172,383,127,467,0,172,84,292,0,0,73,852
平井,13,203,37,40,0,278,746,727,1226,2072,1153,1433,1711,782,1010,416,0,73,0,357,210,0,0,0,106,0,378
新小岩,14,339,96,23,685,2071,639,4029,4693,2511,4960,2925,1691,1858,711,337,385,285,136,289,116,61,93,0,62,96,591
小岩,15,142,0,553,901,660,2028,3071,3403,3472,3066,2561,1582,1528,1106,414,126,812,122,37,0,411,146,270,116,0,1576
八丁堀,16,208,0,37,82,58,795,539,1727,1187,1472,1573,2290,1100,491,900,521,628,129,36,163,118,44,0,0,37,379
越中島,17,0,0,0,0,191,90,200,0,37,82,319,134,52,156,0,44,0,0,0,0,0,0,0,0,0,44
