name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
東京,1,588,339,1924,3398,8384,16095,27077,43745,62276,80543,66429,60551,40619,27703,16200,9023,9453,6092,4457,4375,1712,2601,1159,2061,1237,12688
上野,2,690,1538,1828,4235,12733,21399,36165,37923,55834,62714,54252,33815,28586,21160,12791,8675,6139,2840,2905,3479,1360,3205,3368,710,835,10431
尾久,3,0,126,0,44,103,105,394,138,1210,768,54,590,533,287,0,0,0,0,0,0,330,0,0,0,0,548
赤羽,4,964,746,1683,3800,8101,16426,17316,35532,39642,41559,29100,25035,14465,9410,8553,4939,4115,2401,4131,2086,1158,3507,1054,1035,946,12135
日暮里,5,1172,536,990,2709,7202,16696,19708,38559,39933,48387,32065,22575,17139,12685,10088,4307,3306,7090,4956,1540,1054,622,498,220,308,10585
三河島,6,120,0,0,0,487,1119,128,196,114,971,195,150,60,160,70,72,428,0,0,0,0,0,0,0,0,96
南千住,7,110,0,0,84,576,710,1167,3320,1252,2740,1385,720,627,795,367,224,0,128,328,386,874,0,0,0,0,274
北千住,8,4429,1451,5458,7379,16644,27512,43554,60697,66124,64052,50763,36872,27110,19136,10339,5877,4858,3113,3464,2277,1595,2512,1061,1051,586,10549
新日本橋,9,0,0,0,62,0,0,0,0,0,44,0,0,17,58,0,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,96,0,0,104,252,544,636,610,1616,463,365,98,451,67,0,0,48,0,0,0,0,0,0,0,170
錦糸町,11,1318,146,680,2319,3332,4682,10342,9971,16803,14186,14137,6724,6303,5102,3175,1927,881,824,666,698,600,0,114,122,709,1873
亀戸,12,789,167,107,558,1959,1850,2538,4556,5036,3130,5735,3059,2234,4806,2433,1277,390,802,0,574,228,584,112,46,104,1852
平井,13,770,74,80,116,595,1792,1746,2772,4028,3758,4083,2424,1972,2641,1103,212,146,49,967,318,0,0,0,143,242,696
新小岩,14,562,192,191,2547,4518,3291,7737,10477,13197,11985,8885,4259,3444,2544,1115,1799,2056,508,408,690,296,198,0,126,190,1169
小岩,15,490,0,1106,1953,1321,7816,8771,8895,10547,8298,6656,4536,2593,2876,1825,726,1624,207,37,411,411,562,270,283,91,3300
八丁堀,16,280,60,176,224,921,1605,2534,2668,2970,4803,5066,3001,2049,2071,2002,979,597,36,522,44,192,326,0,0,134,840
越中島,17,0,0,0,0,382,133,353,123,37,164,675,217,104,312,88,88,0,102,0,0,0,0,0,0,0,88
潮見,18,0,0,68,0,240,442,486,362,524,2052,1312,590,294,154,300,0,0,0,0,0,0,104,0,0,0,140
新木場,19,224,114,622,2082,1010,2372,4377,6615,9989,9245,10777,8612,7988,3518,3143,1850,785,569,546,154,0,298,112,208,836,3622
葛西臨海公園,20,0,86,510,280,194,410,1006,2404,1708,952,1102,1298,418,378,0,76,86,0,86,0,0,0,0,0,0,236
府中本町,21,242,294,632,404,1667,2564,3912,6753,4822,4605,4799,2616,2834,1601,1194,474,1314,858,76,608,246,1616,0,243,163,1390
北府中,22,0,0,0,0,58,638,1780,908,370,198,94,674,340,304,0,0,0,0,0,0,0,0,0,0,0,90
西国分寺,23,21,426,1235,1529,3171,6649,9427,14959,14316,15252,10728,9798,6135,2984,3841,1160,1929,3377,2676,1205,319,408,544,0,544,5914
新小平,24,0,246,212,142,152,1164,626,120,664,450,567,483,328,0,286,0,135,175,280,100,166,0,0,0,0,62
新秋津,25,350,400,206,908,1799,4515,5771,7481,7679,4005,2919,2875,1507,1385,594,1110,1046,58,256,0,838,221,0,0,0,2209
綾瀬,26,1912,1102,2228,7587,11407,16604,24468,32281,31507,24023,15903,10561,11606,6131,3546,4060,2699,1143,3315,1614,1013,947,524,792,326,1870
亀有,27,183,169,0,951,1056,2151,4405,5501,3377,3422,939,1396,770,326,170,186,220,0,1194,28,110,812,0,1294,108,0
金町,28,1232,412,368,1083,4627,2387,9016,5233,4723,4864,3477,2802,790,1258,778,1172,1462,0,642,0,1722,108,298,390,264,420
八王子,29,164,858,1147,1643,5877,8957,11923,12856,17624,7751,13604,8031,2855,2200,2812,3350,1924,1722,2174,734,130,270,450,172,274,2890
北八王子,30,92,0,0,0,0,0,0,0,580,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
小宮,31,0,0,0,264,0,86,1617,1111,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拝島,32,78,346,1154,4930,5278,8821,17654,5847,6656,2881,4036,204,2660,1838,990,1328,360,690,0,0,648,149,149,0,368,1280
東福生,33,0,0,0,0,1716,122,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
箱根ケ崎,34,0,0,0,870,558,526,164,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0
西大井,35,0,0,0,124,82,2944,1324,1142,1800,1472,2466,744,552,0,354,556,0,424,0,0,0,0,0,790,236,36
大崎,36,226,258,266,60,814,1220,5963,6535,9304,12844,14976,11089,6185,5418,2892,2654,930,1134,356,228,683,277,0,196,0,2470
恵比寿,37,48,226,100,344,640,1901,6154,6269,7603,10059,13681,7410,7722,6665,2803,2890,2211,805,686,239,134,444,28,752,191,841
渋谷,38,2209,1699,1262,5113,13954,31957,52659,83501,94438,99805,93679,75638,51488,43151,28202,20599,16319,16796,11254,7033,4158,4063,3565,2585,2750,35471
新宿,39,1839,1769,2851,8658,22404,45113,77892,129036,143347,143697,137840,108574,80006,57959,54927,38102,28785,25447,17558,10522,7367,6062,5018,8900,5922,43285
池袋,40,2550,1910,3221,7864,20610,43590,67807,106468,128644,133672,108181,81575,63932,42393,32235,22275,15014,17965,13990,10093,4613,5004,4494,3253,2417,37130
板橋,41,0,0,90,3284,756,1240,1527,2812,6571,2189,1852,1339,1102,294,950,476,56,0,48,614,0,60,0,0,402,1030
十条,42,276,106,0,284,590,1132,1649,2115,1912,1570,2531,1353,806,392,116,168,0,178,0,0,0,0,0,0,0,842
北赤羽,43,36,0,702,808,259,1167,518,3517,2758,1887,1467,790,266,204,204,712,32,1202,0,0,0,188,188,0,0,126
浮間舟渡,44,0,172,232,110,115,1123,1411,2676,2288,692,3348,595,194,558,134,0,50,66,0,0,0,0,0,0,246,58
神田,45,0,40,128,742,808,3558,3607,4497,7032,10293,9715,5714,4154,4382,1849,1661,1886,118,574,760,148,0,184,1236,0,2009
御茶ノ水,46,594,392,40,598,3302,6852,12356,15247,20421,26531,27375,20067,15158,11746,9188,5893,3526,4289,2292,1081,2885,1049,1290,514,383,9809
水道橋,47,276,0,110,0,753,679,398,841,784,761,897,1881,914,398,154,362,427,333,302,228,0,0,45,0,108,816
飯田橋,48,246,82,82,1325,1455,6400,7172,19512,16411,14704,12218,10763,8871,8579,4948,3557,1868,3583,1592,1525,772,350,65,490,732,9170
市ケ谷,49,86,80,0,0,493,2275,2278,1592,2124,3779,3376,3492,3163,1128,793,716,365,758,0,1513,305,50,38,68,25,509
四ツ谷,50,254,56,0,114,907,3556,4638,7629,7260,12597,12862,13754,12063,7254,3749,2154,2344,1848,3443,1996,1444,424,476,218,72,2450
