name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
東京,1,294,185,1027,2152,5140,8888,15669,24780,34720,43479,33860,31370,20964,14140,8438,4656,4732,3612,2242,1977,919,1540,618,1303,903,6460
上野,2,474,1092,1151,2646,7351,12091,19420,20661,31690,33904,27982,17729,15507,10484,7365,4171,3241,1778,1478,1567,763,1662,1777,396,529,5118
尾久,3,0,63,0,22,62,105,239,69,670,449,27,500,332,165,0,0,0,0,0,30,165,0,0,0,0,274
赤羽,4,581,448,915,1969,4411,9301,9627,19210,21354,23111,16225,13626,7645,4800,4422,2692,2565,1428,2158,1097,775,1805,535,771,232,6110
日暮里,5,586,292,566,1413,3893,9168,11111,20935,21674,25885,18251,11966,9803,5682,5570,2674,1980,3431,2737,812,527,373,187,110,280,5470
三河島,6,60,0,0,0,263,590,75,98,256,502,148,109,30,80,35,36,214,0,0,0,0,0,0,0,0,68
南千住,7,55,0,0,46,292,363,602,1697,738,1472,711,408,350,415,214,132,0,64,164,193,437,0,0,0,0,137
北千住,8,2347,878,3188,3934,9694,16625,23666,32631,35597,33945,26471,18065,15256,10087,5357,2317,2916,1645,2271,1174,980,1113,645,418,328,5228
新日本橋,9,0,0,0,31,0,0,0,0,0,22,0,0,17,29,0,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,48,0,0,52,126,272,318,305,808,277,190,49,240,19,0,0,24,0,0,0,0,0,0,0,85
錦糸町,11,688,131,952,1444,2569,3651,5844,7904,10616,9723,9650,4882,5150,4324,2298,1489,654,412,333,448,576,292,57,61,396,1099
亀戸,12,478,167,100,517,1189,942,1457,2565,3662,2169,3519,1775,1139,2490,1440,800,344,434,0,287,114,292,56,23,52,968
平井,13,385,37,40,58,414,1092,1137,1784,2347,2002,2198,1797,1086,1514,745,106,73,49,524,159,0,0,0,106,121,372
新小岩,14,377,96,119,1799,2821,1923,5621,5827,7634,7945,5257,3217,2411,1842,698,1031,1979,254,314,345,171,122,0,64,96,640
小岩,15,245,0,553,1274,840,4752,5402,4810,5690,4692,3760,2616,1605,1661,1084,436,812,122,37,411,411,416,270,167,91,1670
八丁堀,16,140,30,147,120,475,839,1422,1433,1750,2799,2826,1936,1295,1165,1184,555,315,0,279,44,74,163,0,0,67,420
越中島,17,0,0,0,0,191,90,200,80,37,82,415,134,52,156,44,44,0,51,0,0,0,0,0,0,0,44
潮見,18,0,0,34,0,120,221,243,181,262,1074,656,295,147,103,150,0,0,0,0,0,0,52,0,0,0,96
新木場,19,112,95,311,1073,763,1692,2853,3844,6271,6493,6691,6195,5254,2953,2036,1054,455,358,303,225,0,149,86,115,469,2096
葛西臨海公園,20,0,43,255,140,97,205,555,1342,854,476,551,649,209,210,0,38,43,0,43,0,0,0,0,0,0,118
府中本町,21,121,294,586,292,917,1308,2462,3852,2817,2983,3171,1500,1124,1472,675,237,444,705,38,304,102,829,0,151,111,695
北府中,22,0,0,0,0,58,319,890,454,185,99,47,337,170,152,0,0,0,0,0,0,0,0,0,0,0,45
西国分寺,23,21,213,926,1005,1876,4340,6300,8937,9367,10081,8556,7623,4662,2128,2306,954,1094,2420,1528,627,289,204,272,0,272,2985
新小平,24,0,123,106,71,76,598,313,60,332,225,443,401,164,0,143,0,135,155,140,50,83,0,0,0,0,31
新秋津,25,194,219,202,517,1346,2607,3574,4651,4656,2859,1695,1970,895,732,509,582,561,67,128,0,419,128,0,0,0,1159
綾瀬,26,956,566,1145,3918,6298,9044,13264,18136,17167,13019,8271,5747,5898,3200,2039,2438,1861,947,2214,807,940,839,262,396,194,966
亀有,27,122,115,33,580,582,1294,2487,2872,2057,2016,766,1104,507,163,97,186,191,0,597,28,69,406,0,701,108,0
金町,28,616,206,184,658,2489,1971,5296,3369,2279,3083,2549,1512,607,760,914,586,731,0,321,0,861,54,149,195,132,210
八王子,29,200,724,1045,1472,4134,6689,8081,11320,12457,8431,9711,8464,2970,1910,2246,2207,2747,2125,1322,355,391,304,225,86,206,1514
北八王子,30,46,0,0,0,0,0,0,0,290,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
小宮,31,0,0,0,132,0,43,1364,1111,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
拝島,32,169,269,931,3260,4884,6690,10571,4938,4871,4418,3292,1150,1356,1397,880,1067,400,373,345,0,324,289,149,0,184,640
東福生,33,0,0,0,0,858,61,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
