name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
東京,1,588,55,96,188,333,526,1065,470,1186,1758,1789,2017,4750,5359,4394,6199,7388,9027,11186,11510,13337,18518,18355,20981,23383,29754,26008,24192,24998,21947,19475,17964,22614,20062,15481,12697,12482,10801,8982,7944,6608,4369,5143,4389,2051,2475,3192,3187,3037,1996,2146,1937,2415,1011,1255,1424,1558,1219,345,895,519,524,1016,1014,635,282,325,728,525,725,908,152,177,12688
上野,2,703,284,478,889,847,161,694,826,1078,2522,4648,5241,3355,8119,6185,8374,12670,10380,13274,12539,14284,11690,16107,22145,19311,21959,20926,20939,17592,16295,17934,10607,11855,10017,10976,9771,8716,6957,8512,4395,4674,3021,5840,2878,2356,1871,2848,2242,695,1531,313,1383,1057,572,1051,362,2174,641,559,457,281,1965,783,507,2078,764,485,605,96,0,290,322,446,10208
尾久,3,0,0,63,63,0,0,0,0,22,22,0,0,103,21,0,84,136,204,54,0,0,138,733,59,418,242,262,264,54,0,0,60,245,285,410,26,97,177,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,135,135,0,0,0,0,0,0,0,0,0,0,0,0,548
赤羽,4,964,394,175,209,480,387,817,748,2016,746,2052,3333,2617,3159,4376,8283,4053,5732,7811,6945,14599,12125,13162,12924,14374,12808,15605,13195,12023,6674,10564,9774,7762,8578,4189,5336,4823,3145,3309,3262,2472,4404,1639,1869,1543,1591,934,928,2318,1171,354,990,658,1930,1258,734,826,857,446,431,281,322,1883,1259,815,282,0,492,398,145,699,112,80,12190
日暮里,5,1172,198,198,94,523,132,396,732,1045,886,1244,3013,2118,3624,4327,9351,5402,6481,7018,12481,14194,11715,15627,11710,11964,14882,16226,15913,13589,11426,9582,8945,5891,7688,7523,6393,4305,5130,4372,2394,3967,3611,2781,1539,1707,1250,916,727,1181,1813,2374,2136,2044,2879,1091,410,788,329,807,341,102,18,151,310,267,343,31,0,110,110,82,77,149,10585
三河島,6,120,0,0,0,0,0,0,0,0,0,0,332,155,39,42,1038,34,12,82,39,98,59,57,57,0,540,398,33,127,0,68,68,0,82,0,60,0,42,0,118,70,0,0,0,36,36,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
南千住,7,110,0,0,0,0,0,0,0,76,8,354,69,153,190,486,34,309,359,499,423,2555,342,464,428,360,1665,829,246,580,496,309,284,171,265,306,59,262,41,116,638,21,33,313,94,28,102,0,0,0,0,64,64,0,274,54,0,240,146,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
北千住,8,4631,205,513,720,2385,1446,2010,1305,3154,2773,4841,4903,7581,6709,9904,12843,16590,13667,14254,20543,19182,22305,20969,25169,20726,20410,23484,20680,18685,13367,17674,12364,11123,9159,12208,8703,6533,8003,7290,3438,2936,3024,4634,1739,2149,557,1915,1426,2320,711,463,1249,1444,1147,1151,711,548,878,400,350,765,385,1018,912,564,79,591,262,522,52,0,470,186,10456
新日本橋,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,17,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,0,96,0,0,0,0,0,0,0,104,0,0,252,0,0,231,171,142,324,192,120,308,181,121,585,767,264,161,201,101,91,43,231,53,45,0,0,432,19,67,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
