name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
東京,1,0,0,1,4,11,20,33,55,78,100,82,71,50,36,22,12,11,8,6,4,1,3,1,2,1,12
上野,2,1,3,3,7,20,33,55,58,87,100,78,50,43,29,20,12,9,4,4,5,2,4,5,1,1,15
尾久,3,0,0,6,7,21,27,59,93,100,90,70,47,26,21,17,13,20,10,3,0,2,2,0,0,0,11
赤羽,4,2,1,3,8,18,39,41,81,92,100,70,58,34,20,19,11,11,6,9,5,3,7,2,2,2,26
日暮里,5,2,1,2,5,14,34,40,77,83,100,72,50,39,27,20,9,6,16,13,3,2,1,0,0,0,20
三河島,6,2,0,0,0,5,13,29,54,59,85,100,85,54,40,23,14,9,13,7,4,1,0,0,0,1,15
南千住,7,2,0,0,0,5,12,29,54,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
北千住,8,5,2,8,11,24,43,66,89,100,97,79,57,42,28,15,9,7,6,5,3,2,3,1,1,0,12
新日本橋,9,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,14,7,4,1,0,0,0,1,15
馬喰町,10,2,0,0,0,5,12,29,53,59,85,100,85,55,40,23,14,8,13,7,4,1,0,0,0,1,15
錦糸町,11,7,1,4,14,23,31,64,75,100,92,91,40,41,35,22,11,5,4,3,3,3,2,0,0,4,10
亀戸,12,14,5,0,12,33,28,44,78,100,64,99,54,34,75,42,24,9,13,0,8,3,8,1,0,1,29
平井,13,16,1,1,2,17,46,48,76,100,85,93,76,46,64,31,4,3,2,22,6,0,0,0,4,5,15
新小岩,14,4,1,1,24,38,26,59,79,100,93,66,34,29,19,8,14,28,3,2,4,2,1,0,0,1,9
小岩,15,4,0,9,22,14,83,94,84,100,82,66,45,28,29,19,7,14,2,0,7,7,7,4,2,1,29
八丁堀,16,5,1,3,4,16,28,50,51,57,89,100,62,42,41,41,20,11,1,10,1,4,5,0,0,2,15
越中島,17,3,0,0,23,37,26,58,79,100,93,66,33,28,18,7,13,28,2,1,3,1,0,0,0,0,8
潮見,18,4,1,1,24,38,26,59,79,100,93,66,34,28,19,8,14,28,3,2,4,2,1,0,0,1,9
新木場,19,1,1,5,17,8,20,39,58,95,88,100,86,78,39,33,16,7,5,4,1,0,2,0,1,6,29
葛西臨海公園,20,3,0,0,23,38,26,58,79,100,93,66,33,28,18,7,14,28,2,1,3,1,0,0,0,0,8
府中本町,21,3,7,15,5,22,35,63,100,65,65,68,37,38,22,15,6,17,11,1,8,3,21,0,4,2,18
北府中,22,2,2,12,18,15,55,79,77,65,100,90,37,20,15,10,6,4,15,2,2,4,4,5,0,2,14
西国分寺,23,0,2,8,10,22,47,65,100,91,99,78,69,41,20,24,7,12,21,17,7,2,2,3,0,3,36
新小平,24,1,1,11,18,15,55,79,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
新秋津,25,4,5,2,12,24,55,73,96,100,54,39,38,20,17,6,13,13,0,3,0,9,3,0,0,0,27
綾瀬,26,5,3,6,21,34,52,74,100,93,70,47,31,33,17,11,13,10,5,12,4,4,4,1,2,1,5
亀有,27,4,4,0,17,20,45,83,100,71,70,26,38,17,5,3,6,6,0,20,0,2,14,0,24,3,0
金町,28,13,4,4,12,54,29,100,61,56,58,40,33,11,13,8,12,16,0,7,0,18,1,3,4,2,4
八王子,29,1,5,7,10,33,50,66,75,100,44,76,47,17,12,16,18,10,9,11,4,0,1,2,0,2,16
北八王子,30,0,4,6,9,33,50,66,75,100,44,76,47,16,11,15,17,9,8,11,3,0,0,1,0,1,15
小宮,31,0,4,6,9,32,49,65,75,100,43,75,46,16,11,16,17,9,8,10,3,0,0,1,0,1,16
拝島,32,0,1,6,27,29,51,100,32,36,16,22,1,14,10,5,7,1,3,0,0,3,1,1,0,2,7
