name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
東京,1,1,0,0,0,1,2,2,2,3,5,6,6,14,19,16,19,25,30,37,41,48,62,62,69,84,100,95,86,85,77,68,61,79,71,49,49,44,39,31,27,23,15,18,15,8,8,10,11,10,7,6,7,7,4,4,4,5,5,1,2,2,2,3,3,2,0,0,2,2,2,2,0,0,23
上野,2,3,1,1,4,4,0,2,2,4,11,19,18,15,30,27,30,50,45,51,53,58,48,62,86,80,100,82,82,69,62,68,46,45,42,45,38,35,28,36,17,18,10,21,14,9,8,11,7,3,6,1,4,5,4,2,2,7,4,2,2,2,6,1,3,7,2,2,1,1,0,0,1,1,35
尾久,3,0,0,16,16,0,0,0,0,5,5,0,0,16,5,0,21,28,26,7,0,0,18,100,12,71,60,45,34,7,0,0,7,36,53,65,3,18,28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,35,0,0,0,0,0,0,0,0,0,0,0,0,71
赤羽,4,6,2,1,1,4,2,4,5,12,5,15,28,16,22,35,50,29,45,52,51,100,82,79,84,88,85,98,89,78,43,66,63,46,55,36,36,30,18,24,20,20,28,12,11,11,15,7,8,15,7,2,5,4,13,5,3,6,8,4,1,2,3,15,0,5,0,0,4,0,1,4,0,0,66
日暮里,5,4,1,0,0,2,0,1,4,5,4,7,15,14,19,27,50,31,33,44,71,80,69,82,71,80,83,87,100,71,61,55,53,42,42,50,36,19,33,23,17,18,17,15,7,9,9,6,3,7,12,8,15,14,15,8,1,3,1,3,3,0,0,1,2,0,1,0,0,0,0,0,0,1,44
三河島,6,11,0,0,0,0,0,0,0,0,0,0,31,18,7,3,100,6,2,7,7,18,11,10,10,37,64,50,6,15,0,12,12,0,7,0,5,0,3,11,11,6,0,0,0,6,6,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
南千住,7,4,0,0,0,0,0,0,0,2,3,15,5,6,8,19,1,18,23,23,18,100,17,28,26,21,80,44,12,25,24,14,12,9,14,14,4,11,3,6,26,1,2,14,5,2,4,0,0,0,0,4,4,0,10,2,0,14,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
北千住,8,10,1,1,3,7,8,7,6,9,13,16,22,28,25,34,51,60,62,57,74,81,84,91,100,87,84,91,88,79,62,63,62,45,41,42,37,29,32,27,18,14,12,15,12,8,5,5,7,8,5,2,5,6,4,3,4,2,2,2,1,1,2,4,4,1,0,1,1,1,1,0,1,1,24
新日本橋,9,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,54,0,0,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
馬喰町,10,0,0,7,0,0,0,0,0,0,0,7,0,0,18,0,0,25,25,14,23,14,8,22,17,13,81,100,26,16,22,14,10,4,15,7,5,0,0,31,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
錦糸町,11,14,0,0,0,0,4,2,16,7,12,16,15,17,34,19,20,42,46,80,70,40,55,83,79,77,63,71,100,97,75,54,18,25,53,31,27,42,25,24,33,20,12,17,0,18,12,7,7,0,5,4,2,2,2,2,0,1,7,0,1,5,5,0,0,1,0,0,0,1,0,0,4,4,21
亀戸,12,24,8,0,0,1,0,0,3,5,16,23,25,14,13,15,18,19,23,34,54,16,64,85,26,72,51,30,47,81,98,62,65,41,20,4,45,15,100,15,19,7,6,57,20,10,17,10,2,3,8,11,13,0,0,0,5,3,8,3,5,0,3,11,11,0,2,0,0,1,0,2,0,0,49
平井,13,28,2,0,0,2,0,0,0,2,1,6,11,12,31,17,36,18,35,51,70,39,52,80,82,70,67,65,79,45,96,40,27,27,100,38,56,12,34,42,69,52,21,0,7,0,0,0,5,0,0,0,3,6,14,17,0,9,6,0,0,0,0,0,0,0,0,0,5,2,2,0,8,0,27
新小岩,14,9,3,0,0,1,0,2,10,21,32,46,22,34,15,31,37,21,71,59,77,53,76,86,81,100,84,78,94,72,62,55,34,33,30,23,27,29,21,19,3,16,2,0,19,16,12,63,2,0,3,6,1,0,5,3,3,6,7,4,0,1,3,1,0,0,0,0,0,2,0,0,3,3,20
小岩,15,6,0,0,0,14,0,0,1,8,24,16,1,4,26,35,84,75,52,34,41,61,71,69,100,36,46,50,64,48,54,26,19,19,34,13,23,15,16,15,20,23,8,6,6,5,3,10,8,7,2,0,0,0,0,0,0,0,11,11,0,0,2,1,7,7,0,0,0,2,2,1,0,1,45
八丁堀,16,10,0,2,0,2,0,5,6,2,0,2,22,8,22,38,4,26,44,41,39,28,40,33,60,48,61,90,51,100,40,74,62,43,47,27,28,45,55,19,17,29,36,36,30,8,8,7,11,4,0,0,2,2,8,18,0,0,3,8,2,0,3,8,0,0,0,0,0,0,0,5,2,0,31
