name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
東京,1,28607,1,0,0,0,1,2,2,2,3,5,6,6,14,19,16,18,25,29,37,41,48,62,61,68,83,100,95,86,85,77,68,61,79,71,49,48,45,39,31,27,23,15,17,16,9,8,10,11,10,7,6,7,7,4,4,4,6,5,1,2,2,2,3,3,2,0,0,1,2,3,2,0,0,23
上野,2,14705,3,0,1,5,4,0,2,2,3,11,19,18,13,30,27,32,47,46,54,52,57,50,64,82,76,100,89,84,71,60,65,48,44,41,51,37,34,30,38,19,21,11,20,12,13,9,12,8,2,6,2,3,1,4,4,2,8,3,1,1,2,7,1,2,8,3,2,2,0,0,1,1,0,36
尾久,3,195,2,0,0,2,0,8,10,5,3,6,12,15,24,20,7,27,52,38,29,72,82,52,63,38,100,84,65,54,43,56,54,30,20,57,30,20,13,27,7,6,14,14,13,13,5,5,1,7,36,6,13,9,3,2,0,2,2,0,3,0,1,2,4,0,1,1,1,1,0,0,0,1,1,23
赤羽,4,9223,6,2,1,1,4,2,4,5,12,5,15,28,16,22,35,50,27,45,52,51,100,82,79,84,88,85,98,89,78,42,67,63,46,55,36,36,30,18,23,20,20,28,12,11,11,15,7,8,15,7,2,5,4,11,7,3,6,8,4,1,2,3,15,0,5,0,0,4,0,1,4,0,0,66
日暮里,5,12647,4,1,0,0,2,0,1,3,5,4,7,15,15,19,26,47,32,28,39,71,81,67,81,62,76,84,78,100,73,63,57,53,43,45,45,35,17,23,28,27,20,16,15,7,7,9,7,3,7,9,10,15,13,16,8,1,2,1,1,2,1,0,1,2,0,1,0,0,0,0,0,0,1,43
三河島,6,214,5,0,0,0,0,2,1,1,1,0,1,5,7,13,9,7,13,21,35,32,30,57,42,50,52,70,65,73,76,71,100,85,63,55,47,43,39,45,29,21,18,21,14,14,10,12,10,3,8,10,15,12,7,10,2,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,35
南千住,7,1337,4,0,0,0,0,0,0,0,0,0,18,5,6,8,19,1,18,23,23,18,100,17,28,26,21,80,44,12,25,24,14,12,9,14,14,4,11,3,6,26,1,2,14,5,2,4,0,0,0,0,4,4,0,10,2,0,14,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
北千住,8,22915,10,0,2,2,5,4,7,7,11,11,16,21,26,26,38,41,54,60,65,77,78,87,90,99,84,100,95,96,88,72,78,58,62,48,49,36,44,39,25,24,22,16,15,11,13,5,8,5,8,3,6,7,3,4,6,4,2,3,3,1,3,1,4,1,1,3,2,1,1,0,0,2,0,24
新日本橋,9,360,5,0,0,0,0,3,1,1,1,0,1,5,6,13,9,7,13,20,35,32,30,57,42,50,53,70,66,73,75,70,100,85,62,55,47,43,40,45,30,21,18,21,15,15,10,12,10,3,8,10,15,12,6,10,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,35
馬喰町,10,487,5,0,0,0,0,2,1,1,1,1,1,5,6,13,9,7,13,20,35,32,31,57,42,49,52,70,66,74,76,71,100,86,63,55,48,43,40,45,29,21,18,21,14,14,10,12,10,3,9,10,15,12,6,10,2,3,3,1,3,0,0,0,0,0,0,1,1,0,1,1,1,2,1,35
錦糸町,11,6094,10,1,1,0,2,5,12,12,10,5,13,17,24,29,24,35,26,43,55,61,57,65,92,90,75,74,64,85,100,80,60,38,25,42,47,24,46,40,28,21,21,12,12,14,12,14,5,7,5,3,2,5,4,3,1,2,0,5,4,0,4,3,0,0,0,0,0,0,0,0,0,4,5,18
亀戸,12,2076,23,8,0,0,1,0,1,3,5,23,33,24,25,18,30,23,23,36,55,60,20,61,83,32,77,73,34,48,92,97,87,64,43,23,5,47,100,94,14,23,8,43,68,21,10,16,13,3,3,7,15,13,0,0,5,5,3,8,3,5,0,3,14,10,2,2,0,0,0,1,2,0,0,46
平井,13,1479,26,2,0,2,2,0,0,2,2,8,10,12,11,28,30,33,27,33,58,64,41,53,93,75,64,62,100,90,74,99,43,25,24,91,46,51,42,36,39,63,47,19,7,7,0,0,4,4,0,0,0,3,5,13,16,5,10,5,0,0,0,0,0,0,0,0,0,4,2,2,0,8,0,25
新小岩,14,3740,10,2,0,0,1,0,1,17,22,29,38,29,32,12,34,32,55,63,89,68,44,73,86,88,95,93,94,100,67,75,58,34,32,27,29,28,24,19,20,14,14,1,1,16,13,10,52,2,0,2,6,0,2,4,3,2,5,6,3,0,1,2,2,0,0,0,0,1,1,0,0,2,2,17
小岩,15,3942,6,0,0,0,13,0,1,1,21,24,15,5,17,25,63,79,98,68,36,41,93,79,77,100,48,49,54,63,46,59,32,19,37,33,26,21,14,21,27,29,21,8,7,8,5,9,12,14,9,2,0,0,0,0,0,0,0,10,10,0,0,2,1,6,6,0,0,1,2,2,1,0,1,42
八丁堀,16,1362,10,0,2,0,0,0,7,3,6,0,1,19,5,24,37,2,28,45,36,38,28,36,32,53,50,59,82,52,100,34,72,55,48,46,26,30,44,51,18,19,29,33,33,32,11,8,7,11,4,0,0,2,2,0,9,8,0,0,2,5,3,0,8,3,0,0,0,0,0,0,4,2,0,30
越中島,17,93,8,2,0,0,0,0,1,9,20,31,46,21,33,15,31,36,20,70,59,76,52,76,86,80,100,83,77,93,72,62,54,33,32,30,22,26,29,20,18,2,15,1,0,18,15,11,62,1,0,2,5,0,0,4,2,2,5,6,3,0,0,2,0,0,0,0,0,0,1,0,0,2,2,19
潮見,18,221,8,2,0,0,0,0,1,9,20,31,45,21,33,14,30,36,20,70,58,76,52,76,85,80,100,83,77,94,71,61,54,33,32,29,22,26,28,20,18,2,15,1,0,18,15,11,62,1,0,2,5,0,0,4,2,2,5,6,3,0,0,2,0,0,0,0,0,0,1,0,0,2,2,19
新木場,19,3890,1,1,1,0,3,5,6,10,20,16,7,5,12,13,14,26,31,34,34,46,49,53,87,69,84,100,65,92,78,91,88,88,70,72,85,71,63,47,29,38,31,28,24,15,20,12,12,4,6,2,7,5,2,3,4,5,0,1,0,0,0,3,3,0,0,1,1,1,1,1,4,0,10,54
葛西臨海公園,20,973,0,4,4,0,0,26,0,5,14,9,9,0,5,15,15,43,46,8,80,98,39,100,60,26,26,48,4,46,51,5,5,62,66,13,21,12,12,12,0,8,0,0,0,0,3,3,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
府中本町,21,1775,6,0,0,16,20,4,12,6,4,4,18,20,8,23,33,23,28,29,79,100,89,50,46,64,51,35,50,58,66,73,43,24,23,40,13,29,61,30,13,8,22,24,5,1,11,4,9,7,22,7,16,0,2,0,0,4,13,5,2,2,4,12,33,0,0,0,0,0,5,3,3,2,0,39
北府中,22,264,3,0,0,2,1,7,19,9,17,19,9,18,12,25,32,68,64,64,76,57,73,71,54,70,51,57,71,100,96,50,75,45,15,23,12,17,22,14,9,10,14,6,3,3,7,9,1,1,6,23,12,5,0,4,0,0,2,1,4,0,3,0,3,3,3,6,9,0,0,0,3,0,1,28
西国分寺,23,4025,0,0,1,5,5,11,7,6,11,14,11,14,25,29,29,48,53,45,53,93,60,79,83,55,71,70,71,100,63,32,78,66,46,47,39,32,19,14,19,19,23,19,20,4,12,1,0,1,23,22,18,3,28,11,1,4,7,7,0,3,0,2,2,0,4,1,1,0,0,0,0,6,0,73
新小平,24,198,3,0,0,2,1,8,19,9,17,19,10,18,12,25,32,69,64,65,77,57,74,71,55,70,52,57,72,100,96,51,75,45,15,23,12,17,22,13,9,10,14,6,3,3,8,9,1,1,6,23,12,5,0,4,0,0,2,1,4,0,3,0,3,3,3,6,9,0,0,0,3,0,1,28
新秋津,25,1794,10,2,7,2,0,4,1,12,7,13,23,5,29,31,28,79,57,53,84,79,100,81,70,99,82,82,33,21,21,24,53,48,29,18,20,20,7,20,21,11,1,10,12,19,0,11,5,24,2,0,0,1,7,6,0,0,0,0,18,5,0,5,0,1,0,0,0,0,0,0,0,0,0,64
綾瀬,26,10910,8,3,4,2,5,3,4,13,10,22,29,21,43,36,33,49,52,55,87,100,93,86,90,85,74,72,64,70,62,35,29,33,28,26,29,31,28,14,9,20,21,8,6,6,11,13,6,6,10,5,1,3,3,13,17,4,3,0,0,0,7,7,0,1,2,2,1,0,0,2,2,0,1,10
亀有,27,1493,8,4,3,3,0,0,2,5,27,21,29,21,19,44,42,54,85,46,81,100,98,83,65,79,85,82,80,52,9,8,41,49,5,24,25,4,4,1,9,11,1,3,4,1,0,10,10,1,1,0,0,0,39,39,0,0,0,1,1,2,0,0,27,0,0,0,39,39,0,7,7,0,0,0
金町,28,3197,19,0,5,6,3,3,2,8,6,10,61,65,13,28,13,27,69,100,47,47,52,46,37,40,43,64,56,22,28,50,49,30,20,16,12,8,6,19,16,4,4,8,16,16,0,1,0,22,0,0,0,0,10,0,0,0,0,0,0,24,2,1,1,0,4,0,0,6,6,0,4,4,0,6
八王子,29,3574,2,5,1,8,4,11,5,15,8,5,14,51,46,40,48,55,56,36,98,62,94,90,91,100,92,40,43,40,45,66,90,85,30,29,21,13,18,19,4,6,27,31,9,3,39,3,18,9,7,7,15,1,0,28,2,3,4,5,1,0,0,0,3,0,5,0,0,2,0,0,1,0,3,42
北八王子,30,148,2,4,0,7,4,10,4,14,7,4,13,50,45,39,47,54,56,35,98,62,93,89,91,100,91,39,43,39,45,66,89,85,29,29,20,12,17,18,4,5,27,31,8,2,38,2,17,8,6,6,14,0,0,27,2,2,4,4,0,0,0,0,2,0,4,0,0,2,0,0,0,0,2,41
小宮,31,46,0,4,0,6,2,10,4,15,6,4,13,50,45,39,47,54,56,34,100,63,95,91,91,100,93,39,43,39,45,67,91,84,30,28,19,13,17,17,2,4,26,30,8,2,39,2,17,8,6,6,15,0,0,28,0,2,2,4,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,41
拝島,32,5912,0,0,2,0,1,0,8,1,26,13,15,15,14,34,45,24,100,43,20,24,4,23,16,31,29,4,16,5,7,18,13,1,0,0,11,1,9,9,10,0,4,7,4,1,5,7,2,0,0,0,2,3,0,0,0,0,0,0,3,0,2,0,0,2,2,0,0,0,0,0,3,3,0,10
東福生,33,15,0,0,0,6,0,6,0,13,6,0,13,46,46,40,46,53,53,33,100,60,93,86,93,100,93,40,40,40,40,66,86,86,26,26,20,6,13,13,0,0,26,26,6,0,40,0,13,6,6,6,13,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
箱根ケ崎,34,69,1,4,0,7,2,10,4,14,7,4,13,50,44,39,47,55,55,34,97,60,94,89,89,100,91,39,42,39,44,65,89,84,28,28,20,11,17,18,2,5,26,30,8,2,37,2,17,8,5,5,14,0,0,27,1,2,2,4,0,0,0,0,2,0,4,0,0,1,0,0,0,0,2,42
西大井,35,1443,0,0,0,0,0,0,0,4,0,0,1,0,1,100,63,2,5,23,20,8,31,4,7,30,34,25,21,25,44,35,27,18,14,13,16,7,0,0,0,2,2,10,18,11,2,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,8,1
大崎,36,3947,3,0,2,0,2,1,0,0,0,0,1,1,7,4,5,5,28,19,32,28,26,39,46,39,72,51,70,73,45,100,85,66,59,43,50,24,25,19,28,31,22,18,4,10,19,13,9,2,0,4,5,5,0,3,3,0,2,1,0,3,5,0,0,3,0,0,0,2,0,0,0,0,0,32
恵比寿,37,4422,0,0,0,1,0,0,0,3,2,0,2,4,2,4,12,24,42,41,23,32,35,41,35,51,37,36,46,78,100,65,62,49,36,39,58,42,27,45,35,17,19,18,10,17,17,8,11,12,5,2,8,0,0,7,4,1,3,0,0,0,1,1,4,3,0,0,0,0,8,8,1,1,0,9
渋谷,38,34445,3,1,1,1,0,1,1,2,5,6,9,13,17,21,30,40,46,48,57,72,81,87,92,92,90,91,97,100,92,86,92,90,72,56,55,49,46,47,41,36,29,28,25,21,21,16,15,16,15,14,16,17,13,10,9,6,6,7,4,3,3,3,3,4,3,3,3,2,2,3,3,2,1,52
新宿,39,49438,2,0,1,1,1,1,3,4,5,7,9,13,21,27,27,33,43,51,63,77,89,93,93,96,97,98,96,95,100,98,81,73,73,70,62,52,49,45,38,32,34,41,36,30,24,22,17,17,21,20,16,13,12,11,12,9,5,6,5,4,5,4,3,4,3,3,3,4,7,5,3,3,4,45
池袋,40,46599,2,0,1,1,1,1,3,3,5,7,9,14,19,24,32,36,42,51,51,66,79,81,84,92,100,99,97,88,84,80,68,63,57,54,53,46,37,35,31,25,22,22,23,20,14,13,11,9,11,13,12,12,11,9,9,10,6,5,5,2,2,3,3,2,3,2,4,4,1,1,1,1,1,41
板橋,41,1730,0,0,0,0,2,0,0,0,4,93,3,5,14,11,4,19,17,5,22,30,40,41,100,45,81,27,12,43,40,27,19,35,19,20,18,10,20,0,4,8,1,3,23,1,8,3,0,0,1,0,0,0,1,0,0,1,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,29
十条,42,724,2,0,0,2,0,8,10,5,3,6,12,15,25,20,8,27,52,38,29,73,81,52,63,38,100,83,66,54,42,56,54,30,20,57,30,20,13,27,8,6,14,14,13,13,5,5,0,8,37,6,13,9,3,2,0,2,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,23
北赤羽,43,1124,1,0,0,0,23,0,15,23,28,20,3,0,16,29,38,6,8,12,25,90,78,51,100,28,66,75,28,29,25,22,30,22,35,0,11,11,0,6,6,2,2,6,0,8,8,22,0,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,5
浮間舟渡,44,432,2,0,0,2,0,8,10,5,3,6,12,15,25,19,7,27,52,38,29,72,81,52,63,38,100,84,65,54,42,56,54,31,19,57,31,19,13,27,7,6,14,14,13,13,5,5,0,7,37,6,13,9,3,2,0,2,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,23
神田,45,2234,0,0,0,0,0,2,0,2,15,1,0,5,14,21,31,47,43,20,30,51,35,43,48,57,74,96,75,93,93,100,49,68,55,31,28,33,49,43,41,29,14,7,20,10,12,19,9,17,26,0,0,1,1,0,10,2,3,13,1,3,0,0,0,0,4,0,0,13,11,2,0,0,0,46
御茶ノ水,46,6093,6,1,1,1,0,0,0,0,4,0,1,11,17,26,15,22,30,40,47,55,38,60,55,54,73,81,100,88,77,99,94,80,66,57,51,63,37,39,43,47,32,26,27,16,25,25,5,10,19,10,20,11,13,7,2,2,2,4,6,15,6,4,1,5,6,2,1,0,0,2,0,2,0,80
水道橋,47,2456,5,0,0,0,0,3,1,1,1,1,1,5,7,13,9,7,13,21,36,32,30,57,42,50,53,70,66,74,76,71,100,86,63,55,48,44,40,46,30,22,19,22,15,15,11,13,11,3,9,11,15,13,7,11,3,3,3,1,3,0,0,0,0,0,0,1,1,0,1,1,1,3,1,36
飯田橋,48,7497,1,0,0,0,0,0,0,1,5,8,6,5,5,12,26,23,19,23,30,49,45,92,100,76,43,52,51,55,45,38,41,47,48,35,31,36,32,37,32,20,20,22,14,14,14,10,7,6,7,8,14,15,3,4,6,4,7,6,3,3,1,1,1,0,0,0,0,1,0,1,5,3,1,61
市ケ谷,49,1439,2,2,2,0,0,0,0,0,0,0,0,2,18,12,38,48,22,30,54,36,26,23,28,46,59,73,92,63,57,59,51,100,77,53,67,47,40,48,21,28,27,12,8,10,10,13,9,3,2,23,7,4,1,0,0,0,23,52,38,0,0,2,0,0,0,0,1,3,2,0,0,0,1,18
四ツ谷,50,3906,3,0,0,0,0,0,0,0,0,1,1,6,6,9,20,28,28,24,24,27,48,48,31,30,60,54,54,100,84,69,75,69,89,93,94,79,51,53,44,29,18,25,19,14,9,17,17,20,14,7,14,18,18,27,15,15,5,7,5,12,13,0,4,5,0,6,6,1,1,0,0,0,0,31
信濃町,51,489,5,0,0,0,0,3,1,1,1,1,1,5,6,13,9,7,13,20,35,32,30,57,42,49,52,69,66,74,76,70,100,85,62,55,47,43,39,46,30,22,19,22,14,14,11,12,11,3,8,11,15,12,6,11,3,3,3,1,3,0,0,0,0,0,0,1,1,0,1,1,1,3,1,35
