name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
東京,1,28730,1,0,0,0,1,2,2,2,3,5,6,6,14,19,16,19,25,29,37,41,48,62,61,68,83,100,95,86,85,77,68,61,79,71,49,48,44,39,31,27,23,15,18,15,8,8,10,11,10,7,6,7,7,4,4,4,5,5,1,2,2,2,3,3,2,0,0,2,2,2,2,0,0,23
上野,2,14858,3,1,1,4,4,0,2,2,4,11,19,18,15,30,27,30,50,45,51,53,58,48,62,86,80,100,82,82,69,62,68,46,45,42,45,38,35,28,36,17,18,10,21,14,9,8,11,7,3,6,1,4,5,4,2,2,7,4,2,2,2,6,1,3,7,2,2,1,1,0,0,1,1,35
尾久,3,195,2,0,0,2,0,8,10,5,3,6,12,15,24,20,7,27,52,38,29,72,82,52,63,38,100,84,65,54,43,56,54,30,20,57,30,20,13,27,7,6,14,14,13,13,5,5,1,7,36,6,13,9,3,2,0,2,2,0,3,0,1,2,4,0,1,1,1,1,0,0,0,1,1,23
赤羽,4,9164,6,2,1,1,4,2,4,5,12,5,15,28,16,22,35,50,29,46,52,51,100,83,80,85,88,85,99,89,79,43,66,63,47,55,36,36,30,18,24,20,20,28,12,11,11,15,7,8,15,7,1,5,5,13,5,3,6,8,4,1,2,3,15,0,5,0,0,4,0,1,4,0,0,66
日暮里,5,12384,4,1,0,0,2,0,1,4,5,4,7,15,14,19,27,50,31,33,44,71,80,69,82,71,81,83,87,100,72,61,55,53,42,42,50,36,20,33,23,17,18,17,15,7,9,9,6,3,7,11,9,15,14,15,8,1,3,1,3,3,0,0,1,2,0,1,0,0,0,0,0,0,1,44
三河島,6,214,5,0,0,0,0,2,1,1,1,0,1,5,7,13,9,7,13,21,35,32,30,57,42,50,52,70,65,73,76,71,100,85,63,55,47,43,39,45,29,21,18,21,14,14,10,12,10,3,8,10,15,12,7,10,2,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,35
南千住,7,1337,4,0,0,0,0,0,0,0,2,3,15,5,6,8,19,1,18,23,23,18,100,17,28,26,21,80,44,12,25,24,14,12,9,14,14,4,11,3,6,26,1,2,14,5,2,4,0,0,0,0,4,4,0,10,2,0,14,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
北千住,8,22083,10,1,1,3,7,8,7,6,9,13,16,22,28,25,34,51,60,62,57,74,81,84,91,100,87,84,91,88,79,62,64,62,45,41,42,37,29,32,27,18,14,12,15,12,8,5,5,7,8,5,2,5,6,4,3,4,2,2,2,1,1,2,4,4,1,0,1,1,1,1,0,1,1,24
新日本橋,9,360,5,0,0,0,0,3,1,1,1,0,1,5,6,13,9,7,13,20,35,32,30,57,42,50,53,70,66,73,75,70,100,85,62,55,47,43,40,45,30,21,18,21,15,15,10,12,10,3,8,10,15,12,6,10,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,35
馬喰町,10,487,5,0,0,0,0,2,1,1,1,1,1,5,6,13,9,7,13,20,35,32,31,57,42,49,52,70,66,74,76,71,100,86,63,55,48,43,40,45,29,21,18,21,14,14,10,12,10,3,9,10,15,12,6,10,2,3,3,1,3,0,0,0,0,0,0,1,1,0,1,1,1,2,1,35
錦糸町,11,4500,14,0,0,0,0,4,2,16,7,12,16,15,17,34,19,20,42,46,80,70,40,55,83,79,77,63,71,100,97,75,54,18,25,53,31,27,42,25,24,33,20,12,17,0,18,12,7,7,0,5,4,2,2,2,2,0,1,7,0,1,5,5,0,0,1,0,0,0,1,0,0,4,4,21
亀戸,12,1965,24,8,0,0,1,0,0,3,5,16,23,25,14,13,15,18,19,23,34,54,16,64,85,26,72,51,30,47,81,98,62,65,41,20,4,45,15,100,15,19,7,6,57,20,10,17,10,2,3,8,11,13,0,0,0,5,3,8,3,5,0,3,11,11,0,2,0,0,1,0,2,0,0,49
平井,13,1355,28,2,0,0,2,0,0,0,2,1,6,11,12,31,17,36,18,35,51,70,39,52,80,82,70,67,65,79,45,96,40,27,27,100,38,56,12,34,42,69,52,21,0,7,0,0,0,5,0,0,0,3,6,14,17,0,9,6,0,0,0,0,0,0,0,0,0,5,2,2,0,8,0,27
