name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
東京,1,294,188,1058,2445,5979,11214,18099,29572,41923,53513,44164,38256,27050,19302,12048,6955,6025,4401,3445,2656,1012,1694,889,1426,1054,6637
上野,2,474,1083,1151,2646,7248,11899,19459,20580,30660,35182,27558,17925,15376,10447,7087,4418,3287,1727,1525,1780,780,1662,1876,396,529,5341
尾久,3,4,4,30,34,94,120,254,404,430,387,301,206,116,94,77,60,86,43,17,4,12,12,4,0,4,51
赤羽,4,581,448,915,1969,4387,9152,9617,18780,21319,23124,16283,13550,7865,4832,4441,2761,2565,1428,2093,1189,725,1789,535,585,553,6110
日暮里,5,586,292,612,1451,3965,9415,11104,21097,22704,27108,19757,13734,10662,7485,5609,2595,1873,4366,3699,822,591,311,249,110,216,5534
三河島,6,15,0,5,5,31,68,156,282,313,444,522,444,287,214,125,78,47,73,41,25,10,0,0,0,10,83
南千住,7,66,0,22,22,131,287,662,1193,1325,1876,2208,1876,1214,905,530,330,198,309,176,109,44,0,0,0,44,352
北千住,8,2347,1080,3377,4637,10190,17823,27507,37210,41443,40388,33153,23936,17436,11778,6625,3919,3012,2539,2475,1656,1227,1470,710,656,351,5321
新日本橋,9,26,0,8,8,52,114,263,474,526,746,878,746,482,360,210,131,78,123,70,43,17,0,0,0,17,140
馬喰町,10,35,0,11,11,71,154,356,642,713,1011,1189,1011,654,487,285,178,107,166,95,59,23,0,0,0,23,190
錦糸町,11,659,94,361,1331,2080,2805,5786,6768,8987,8344,8191,3626,3709,3215,1991,1030,531,412,333,349,300,235,57,61,396,978
亀戸,12,478,167,32,401,1097,942,1457,2565,3277,2120,3273,1775,1139,2490,1409,800,309,434,0,287,114,292,56,23,52,968
平井,13,385,37,40,58,414,1092,1137,1784,2347,2002,2198,1797,1086,1514,745,106,73,49,524,159,0,0,0,106,121,372
新小岩,14,281,96,119,1690,2677,1831,4129,5518,6970,6494,4667,2408,2036,1366,590,1031,1979,254,204,345,171,122,0,64,96,640
小岩,15,245,0,553,1274,840,4752,5402,4810,5690,4692,3760,2616,1605,1661,1084,436,812,122,37,411,411,416,270,167,91,1670
八丁堀,16,140,30,103,127,446,795,1386,1431,1582,2482,2768,1741,1164,1135,1140,555,315,36,279,44,118,163,0,0,67,420
越中島,17,10,2,2,60,96,66,149,200,253,236,167,86,73,48,20,35,71,7,5,10,5,2,0,0,2,22
潮見,18,24,6,6,144,228,156,354,474,600,558,396,204,174,114,48,84,168,18,12,24,12,6,0,0,6,54
新木場,19,74,95,311,1041,505,1269,2411,3520,5798,5334,6056,5251,4726,2364,2053,990,425,306,273,77,0,149,56,115,418,1811
葛西臨海公園,20,24,6,6,145,231,158,358,480,607,565,401,206,176,115,48,85,170,18,12,24,12,6,0,0,6,54
府中本町,21,121,294,586,202,855,1356,2386,3772,2474,2479,2594,1396,1457,841,597,237,657,429,38,304,123,808,0,151,111,695
北府中,22,13,13,78,123,103,363,513,500,422,649,590,246,136,103,71,45,32,103,19,13,32,32,38,0,19,97
西国分寺,23,21,213,699,854,1820,3893,5341,8165,7473,8127,6379,5646,3382,1712,2033,580,1029,1753,1395,627,170,204,272,0,272,2957
新小平,24,9,9,58,92,78,273,386,376,317,488,444,185,102,78,53,34,24,78,14,9,24,24,29,0,14,73
新秋津,25,194,219,120,517,1031,2353,3123,4127,4266,2344,1671,1647,859,732,297,555,561,29,128,0,419,128,0,0,0,1159
綾瀬,26,956,566,1145,3918,6298,9463,13535,18086,16926,12785,8510,5648,6040,3200,2039,2438,1861,947,2214,807,872,839,262,396,194,966
亀有,27,122,115,0,502,582,1294,2410,2872,2057,2016,766,1104,507,163,97,186,191,0,597,28,69,406,0,701,108,0
金町,28,616,206,184,589,2462,1342,4533,2773,2567,2659,1854,1512,506,629,389,586,731,0,321,0,861,54,149,195,132,210
八王子,29,92,491,693,915,3056,4574,6059,6875,9078,4076,6982,4345,1616,1094,1493,1699,962,861,1087,367,65,135,225,86,206,1514
北八王子,30,4,21,30,43,144,218,288,327,436,192,332,205,74,52,69,78,43,39,48,17,0,4,8,0,8,69
小宮,31,1,6,9,13,45,68,90,103,137,60,104,64,23,16,22,24,13,12,15,5,0,1,2,0,2,22
拝島,32,39,173,577,2465,2639,4637,9056,2934,3350,1451,2067,102,1330,931,507,664,180,345,0,0,324,149,149,0,184,640
東福生,33,0,2,3,4,14,22,29,33,45,19,34,21,7,5,7,8,4,4,4,1,0,0,0,0,0,7
箱根ケ崎,34,2,10,14,20,66,101,133,152,202,89,154,95,34,24,32,36,20,18,22,8,0,2,4,0,4,32
西大井,35,14,6,27,55,131,180,401,664,691,657,498,373,193,131,62,82,69,14,14,27,14,14,14,6,6,172
大崎,36,122,129,133,30,407,550,3053,3274,5674,6822,8048,5915,3469,2869,1540,1383,465,567,178,134,351,148,0,98,0,1289
恵比寿,37,24,113,63,185,330,1302,3443,3755,4125,5786,8016,4620,4633,3700,1836,1595,1177,425,343,157,67,283,28,387,125,439
渋谷,38,1300,1053,815,3423,9142,21441,35585,55118,63114,66123,63951,50915,34938,29017,18750,13235,10673,11086,7957,4794,2901,2708,2416,1871,1847,17935
新宿,39,1023,1150,2094,5721,15488,30736,53028,84790,94555,95968,90072,71710,54564,38492,35028,25909,19572,17763,12162,7613,5293,4312,3288,5239,3792,22212
池袋,40,1366,1207,2178,5410,13632,28118,43838,69268,86432,88273,71463,54916,42979,28384,21564,15643,10652,11955,9869,7239,3296,3085,3713,2646,1598,19174
板橋,41,0,0,45,1642,378,620,782,1433,3443,1381,1180,994,681,147,475,238,28,0,24,307,0,30,0,0,201,515
